loc, p_deg, p_min, p_sec, l_deg, l_min, l_sec, star_name
1, 84, 14, 05.8, 14, 54, 06.2, HIP 84807 
1, 81, 36, 38.5, 16, 43, 06.7, Gaia DR3 4553593532030901632
1, 80, 14, 22.4, 17, 13, 43.7, HD 158640 
1, 78, 52, 00.3, 16, 58, 21.0, HD 159643 
1, 78, 00, 10.7, 16, 10, 36.5, Gaia DR3 4552421757575205120
1, 76, 07, 48.9, 15, 09, 45.9, Gaia DR3 4552596717363364736
1, 75, 38, 26.6, 14, 25, 36.8, Gaia DR3 4551762364135670912
1, 75, 32, 35.7, 13, 29, 54.3, HIP 87626 
1, 77, 03, 55.3, 13, 11, 43.6, Gaia DR3 4550946522209471616
1, 78, 20, 46.0, 12, 58, 07.6, Gaia DR3 4549413837360133888
1, 79, 55, 57.3, 12, 54, 56.0, Gaia DR3 4548905970365832832
1, 81, 26, 53.8, 13, 03, 00.7, Gaia DR3 4548989945564443136
1, 82, 35, 26.2, 13, 03, 54.4, Gaia DR3 4542860958513964928
1, 84, 59, 16.3, 13, 47, 24.3, SAO 102746
6, 37, 54, 24.5, 26, 38, 52.9, 31 Cyg 
6, 39, 05, 24.3, 21, 29, 59.5, HIP 100249 
6, 37, 59, 30.8, 20, 49, 15.2, HIP 100804 
6, 34, 25, 06.1, 20, 22, 50.5, HIP 102321 
6, 33, 06, 13.2, 21, 03, 57.3, SAO 50094 
6, 31, 59, 01.9, 22, 32, 25.7, SAO 50138 
6, 30, 16, 47.8, 24, 29, 11.7, V2140 Cyg 
6, 30, 30, 22.3, 25, 55, 25.1, Gaia DR3 2167291526082027776
6, 32, 02, 12.7, 27, 15, 16.7, SAO 49935
6, 33, 30, 20.9, 27, 57, 11.5, HIP 101284 
6, 34, 22, 31.8, 28, 07, 10.6, 43 Cyg 
6, 37, 07, 38.5, 27, 23, 51.4, 32 Cyg 
